model_name,mae,rmse,mape
Naive Baseline,6.105666666666669,7.718990650769485,2.915174216385761
"ARIMA(5,1,0)",5.022269000289726,6.332006517156427,2.394672115498795
Prophet,11.349254532479984,13.538067602716746,5.292709209250879
